PPO before,AC before,VPG before,random,PPO after,AC after,VPG after,baseline
-100.0,-345.0,-140.47240841388702,-360.0,2909.4108807444572,1786.7054248452187,1460.9215103387833,2073.3415991067886
-300.0,-510.0,-600.0,-600.0,-102.70953714847565,1257.6480596661568,1104.8916211128235,2761.8465629816055
-105.0,-142.0,-129.59303486347198,-100.0,3409.0388895869255,1843.1721923351288,2252.7458848953247,2524.0775008797646
-600.0,-131.0,-665.0,-100.0,-122.94028806686401,1322.2500322461128,2353.090886592865,2014.8056066036224
-118.49955326318741,-153.49700093269348,-608.4970009326935,-119.0,3502.2968621253967,2637.986866772175,2040.266535282135,2491.3719019293785
-221.50548934936523,-537.2056213617325,-333.00848841667175,-217.11681866645813,4517.51627099514,1544.481522321701,2139.628392636776,2286.8164145946503
-144.12243008613586,-375.32676124572754,-648.5630922317505,-620.0,4169.61126023531,1658.7986803650856,1606.8518871068954,2480.845365524292
-283.00848841667175,-600.0,-140.0,-360.0,3652.7794886231422,1431.2821611166,2114.2554111480713,2253.8772279024124
-221.50548934936523,-340.0,-180.0,-282.53238260746,3411.0214337706566,1673.08638048172,1674.2783371210098,-150.1868281364441
-100.0,-620.0,-290.0,-100.0,2802.8682656884193,2126.997467160225,1581.22557669878,3138.650141298771
-200.0,-521.5054893493652,-100.0,-620.0,4484.264577150345,1123.811635196209,1095.2918596863747,2239.2534336447716
-100.0,-220.0,-221.50548934936523,-600.0,3715.935988485813,2342.380343079567,1646.0439567565918,2823.270442008972
-126.50548934936523,-112.0,-300.0,-100.0,3942.30935049057,1410.4903907179832,1183.0344179272652,2140.252952337265
-290.0,-510.0,-109.2250428199768,-300.0,4593.711761832237,-132.05075216293335,1096.8976230025291,2603.289889395237
-100.0,-557.2056213617325,-665.0,-600.0,4732.607286930084,1389.6357493400574,1923.404621720314,-117.18161046504974
-226.0706901550293,-510.0,-600.0,-196.07334554195404,-107.99912691116333,1580.8868580460548,1628.5015823245049,2470.095367193222
-100.0,-102.0,-100.0,-600.0,4814.188317835331,1590.0243279337883,1705.2429003119469,-117.32676124572754
-112.07334554195404,-333.00848841667175,-290.0,-100.0,3038.0597663521767,1506.6544812321663,1754.3142350316048,-109.0
-300.0,-112.0,-300.0,-627.2056213617325,4598.988023757935,1140.5462688803673,1836.9373875260353,2472.379579424858
-131.0,-140.0,-237.20562136173248,-173.05724143981934,4529.343128919601,2028.0614185929298,1196.043349981308,2867.6014453172684
-600.0,-300.0,-310.5630922317505,-150.0,-107.46743303537369,-111.20118796825409,1934.0597059130669,1411.4353237748146
-185.62542915344238,-104.32676124572754,-600.0,-105.0,-106.67202496528625,1919.3149206638336,-137.58250838518143,-101.97540748119354
-107.20562136173248,-510.0,-600.0,-115.0,4523.366058766842,1515.8012977838516,1723.8534609675407,2210.914005637169
-100.0,-131.0,-165.0,-300.0,2713.230801463127,1224.8622655272484,1931.423907995224,-101.74571764469147
-553.4970009326935,-340.0,-300.0,-151.40010678768158,3295.136105298996,940.6288838982582,2197.4422720074654,2729.131698191166
-107.0323241353035,-510.0,-157.88985347747803,-172.0,2630.7619863152504,1742.5494433045387,1743.1689916849136,2456.188085436821
-503.66030633449554,-600.0,-109.97540748119354,-100.0,2564.475749731064,1487.8353902697563,1266.9766373634338,1890.6176835894585
-104.0,-510.0,-160.5630922317505,-135.0,4674.062699973583,1503.9335698485374,1800.5288156867027,2302.8595609664917
-300.0,-300.0,-333.00848841667175,-121.76871359348297,-150.23832136392593,2026.0600914359093,2576.4385733008385,2484.3881047964096
-600.0,-600.0,-361.07334554195404,-100.0,3760.1859689354897,1626.3984489440918,1411.5233255028725,2318.869546890259
-105.62473928928375,-146.0,-361.07334554195404,-360.0,3458.2720539569855,1929.4971189498901,2424.3562830090523,-114.49163222312927
-31.361844301223755,-600.0,-121.0,-341.97540748119354,4567.807729661465,-124.53448182344437,2013.588715314865,2879.0548369288445
-100.0,-300.0,-146.0,-665.0,4275.225503444672,1144.7408115267754,1700.7806184887886,2028.193768441677
-100.0,-171.0,-120.0,-135.0,-102.78961497545242,2396.460034072399,1438.1770929694176,2376.535729765892
-123.92466020584106,-111.07334554195404,-165.0,-101.03843104839325,-119.60583317279816,2353.3613691926003,2080.5048966407776,1854.9789410233498
-185.62542915344238,-131.69083058834076,-300.0,-364.0,3555.3310245871544,1498.8786356449127,1295.2718985676765,-109.0
-300.0,-665.0,-600.0,-100.0,3219.3582377433777,1472.2358757257462,1615.060028910637,-108.87099558115005
-100.0,-510.0,-600.0,-221.50548934936523,4687.089446723461,2417.8378574848175,2740.7135642170906,1905.6168370246887
-171.0,-600.0,-326.6987746953964,-431.181028842926,4107.832096338272,1270.7519012093544,1057.07672560215,2214.5706941485405
-300.0,-510.0,-142.0,-165.0,4813.4381982684135,-112.26788353919983,1809.165123462677,1280.032996416092
-100.0,-510.0,-583.1224300861359,-300.0,-117.82497471570969,1494.8035858869553,1677.1439205408096,2018.7301670312881
-146.0,-188.0,-600.0,-365.0,1861.7947327494621,1260.2238292694092,1788.114681482315,-101.97540748119354
-137.0639669895172,-105.0,-237.20562136173248,-171.0,3150.6046221852303,1669.2117089033127,1243.4463211894035,1232.3474692702293
-100.0,-600.0,-348.5630922317505,-300.0,2572.30282831192,1829.1629596948624,1721.3178245425224,1946.096320271492
-100.0,-600.0,-600.0,-113.82376217842102,-125.9127910733223,1567.7186179757118,2031.5400918126106,2806.243362545967
-100.0,-425.5630922317505,-365.0,-522.2056213617325,4527.525790512562,784.8042348623276,1140.150240957737,2132.669111430645
-5.78786164522171,-646.0,-117.0,-115.9838958978653,-159.58447855710983,-106.7737700343132,912.6969377994537,2709.9563696980476
-120.0,-600.0,-600.0,-615.0,4047.732091665268,1354.9040411114693,2256.178889632225,2364.075441837311
-523.9911069869995,-553.4970009326935,-600.0,-665.0,4198.60387301445,1801.3737571239471,1287.9153252840042,3393.232976734638
-153.49700093269348,-425.5630922317505,-100.0,-100.0,2613.347858607769,2197.200192153454,1815.0234097838402,1705.3722723722458
-140.0,-108.00848841667175,-300.0,-300.0,2720.282792568207,1424.5833442807198,1147.2111280560493,-117.32676124572754
-100.0,-620.0,-567.5788348913193,-300.0,2836.979255616665,1922.4598145484924,1642.3239668011665,2108.7401371002197
-300.0,-510.0,-600.0,-355.0,3409.7702083587646,1925.2688562870026,643.4660325050354,1564.265250325203
-127.20562136173248,-108.00848841667175,-600.0,-140.15563195943832,3455.604311943054,1858.2201579213142,1771.5424343943596,2358.9220329523087
-237.20562136173248,-600.0,-198.49700093269348,-638.0084884166718,2780.652595758438,1595.1247268915176,1321.8252322673798,2911.486236989498
-300.0,-340.0,-305.6254291534424,-300.0,4480.504964768887,1999.3559330105782,2388.3748827576637,2545.847301840782
-200.0,-300.0,-364.00848841667175,-180.0,4479.24309694767,1399.1856299638748,1798.1865960359573,2863.447975933552
-205.0,-131.0,-107.56309223175049,-665.0,3918.268881559372,1671.336234152317,1267.707488000393,3237.9320111870766
-200.0,-600.0,-600.0,-600.0,2647.355346083641,1980.313889324665,-111.11945396661758,-106.67045211791992
-133.07334554195404,-600.0,-112.71671187877655,-138.00848841667175,1951.9122079610825,2003.052833199501,2442.976981461048,-126.83562123775482
-49.42291074991226,-304.0,-150.0,-108.0,-110.18443667888641,1755.6953592896461,1384.641131222248,1971.2524312138557
-100.0,-131.0,-600.0,-315.0,3010.423972129822,1656.8933042883873,2056.1978261470795,-101.97540748119354
-100.0,-600.0,-300.0,-360.0,4391.987174868584,-101.6186094880104,1197.8874951004982,1977.8364370465279
-103.76997482776642,-665.0,-100.0,-100.0,2584.534306526184,1417.6967325210571,2122.407935678959,2464.2438694238663
-100.0,-600.0,-120.0,-127.0,4791.925061404705,1013.7221020460129,2047.142860352993,2288.301872909069
-125.82376217842102,-600.0,-196.0,-300.0,2852.1386370658875,2589.2897537350655,1423.88299202919,2951.228036224842
-100.0,-142.0,-305.6254291534424,-600.0,-104.58794581890106,1245.2247101664543,1710.3547737002373,1636.7141025662422
-300.0,-131.0,-367.4970009326935,-300.0,3692.525528550148,498.78611797094345,1930.4724922776222,3249.263061285019
-100.0,-131.0,-293.4970009326935,-627.0,2546.003938138485,2034.0675074458122,2294.7600271105766,2305.796246945858
-210.51497131586075,-600.0,-600.0,-150.0,4120.332388997078,2128.5872809290886,1053.4492081999779,2176.6377492547035
-349.5703464746475,-510.0,-607.181028842926,-154.00848841667175,4183.713027536869,2426.1001176834106,3019.4444766044617,2232.1533892154694
-521.5054893493652,-340.0,-140.0,-142.0,-300.0,-113.24468582868576,1491.7379533052444,-101.97540748119354
-100.0,-135.0,-600.0,-511.0,-221.50548934936523,-125.87369757890701,1564.2949219942093,2356.88756108284
-100.0,-600.0,-136.07334554195404,-286.2056213617325,3627.214884340763,1885.9549459815025,1717.5963860750198,-112.31647175550461
-100.0,-615.0,-600.0,-131.0,4823.317118763924,1988.9984846115112,1060.0682463645935,-101.70217138528824
-100.0,-510.0,-600.0,-117.0,3676.5834495425224,1226.9048976898193,1608.07906550169,3080.559176683426
-100.0,-126.07334554195404,-100.0,-100.0,4686.49283182621,1833.1632065176964,2182.845933139324,2148.8076442480087
-100.0,-600.0,-105.0,-300.0,2819.3154121637344,1168.3431249856949,1262.70356798172,2264.0073983073235
-620.0,-340.0,-300.0,-600.0,4445.990556538105,1742.9631341695786,1845.6858472824097,-109.0
-600.0,-600.0,-324.12243008613586,-600.0,4125.401920258999,1019.6448780298233,1739.7268839478493,2766.306536912918
-340.0,-290.0,-600.0,-237.20562136173248,3626.086829662323,1738.5770300030708,1889.2462158799171,2499.959502518177
-253.49700093269348,-600.0,-602.6931217908859,-290.0,4453.870845913887,1521.1245686411858,2133.138335943222,1661.43868881464
-100.0,-131.0,-192.20562136173248,-100.0,4249.264320790768,1853.6959877610207,-115.12178111076355,2161.8434225320816
-166.3101898431778,-137.0,-117.27896690368652,-300.0,3613.166872382164,2147.385625720024,1513.4471407532692,2858.009391129017
-100.0,-600.0,-620.0,-160.27896690368652,4695.778523862362,1587.92614620924,1636.5349029302597,2305.6719567775726
-100.0,-131.0,-153.49700093269348,-228.6332277059555,3679.680079162121,2193.7136036753654,-131.13110637664795,2065.300726354122
-537.2056213617325,-620.0,-365.0,-100.0,3337.6486943364143,-132.07334554195404,833.8845633864403,2162.7280321121216
-100.0,-600.0,-364.00848841667175,-600.0,3521.70541626215,1453.653993487358,1931.2456047534943,2134.903477728367
-100.0,-493.4970009326935,-283.2789669036865,-112.20562136173248,-101.81216394901276,2065.5087788701057,2008.0442062020302,1752.2333353757858
-300.0,-600.0,-290.0,-100.0,3337.489771068096,2108.728571534157,1334.6881449818611,2311.4110463261604
-105.41433185338974,-531.073345541954,-150.0,-352.50548934936523,-104.64211940765381,1841.5907514095306,2023.3546368479729,2827.7956703305244
-100.0,-299.0407475233078,-600.0,-310.5630922317505,4602.750389099121,1535.8586085438728,1719.397195160389,2470.4491429924965
-24.542688250541687,-147.4510953426361,-300.0,-100.0,4535.962384045124,858.9214122891426,2375.7731515169144,-109.0
-122.47240841388702,-600.0,-600.0,-126.07334554195404,-147.38756388425827,1905.02040797472,1653.160048007965,3080.6624747514725
-600.0,-122.47240841388702,-584.4970009326935,-135.0,-103.27188497781754,1872.475090622902,961.3562670946121,1273.1220481395721
-139.92233324050903,-151.40010678768158,-100.0,-300.0,2765.29432952404,1475.4565125107765,1510.4998674988747,2027.615018427372
-105.0,-131.0,-665.0,-165.0,4408.226597547531,681.4331384301186,1852.0223378539085,-101.97540748119354
-327.0,-138.32676124572754,-320.0,-100.0,4630.299593508244,2326.527422428131,1377.1092894673347,1948.6459617614746
-300.0,-510.0,-108.57158064842224,-600.0,2514.020921587944,1574.8289034366608,1221.930045068264,2915.5181552171707
-365.0,-300.0,-253.49700093269348,-100.0,2663.515723466873,1692.7089451551437,2052.3971324563026,-105.32603484392166
-100.0,-600.0,-600.0,-300.0,4397.985113024712,2497.5992808938026,2029.7833108901978,-104.52591478824615
-603.0084884166718,-300.0,-111.07334554195404,-205.0,4549.20132124424,1512.6721587777138,1484.2198269963264,-101.97540748119354
-114.71671187877655,-510.0,-196.0,-131.0,4408.895458161831,1730.3414546251297,1655.369287610054,2655.307247877121
-300.0,-132.0,-340.0,-100.0,3308.305537045002,1135.635352551937,1576.5657424330711,2395.975660264492
-109.90774554014206,-131.0,-600.0,-100.0,3946.659024000168,1511.1039398908615,1334.801186800003,2682.4400631189346
-100.0,-139.5630922317505,-281.50548934936523,-145.0,3217.787564456463,1260.6036629676819,2262.499061882496,2317.7671523690224
-340.0,-600.0,-174.20562136173248,-300.0,3068.2920736074448,1764.519554078579,2256.080633878708,2435.3986444473267
-100.0,-128.0,-121.02484607696533,-300.0,3198.981854021549,1329.0270743370056,1853.3329167962074,2380.280927300453
-100.0,-131.0,-627.0,-100.0,4082.7932122945786,1603.8491593003273,1966.0107359290123,2876.543030798435
-124.12243008613586,-105.0,-106.83225059509277,-123.00848841667175,4616.690966784954,982.1805680394173,1632.1323900222778,1894.9065937399864
-633.0084884166718,-112.0,-139.9838958978653,-300.0,2870.9451778531075,1994.9062145352364,1359.1300922632217,2134.8301235437393
-100.0,-404.06009316444397,-123.00848841667175,-100.0,4248.604124009609,1863.1867045164108,2405.4672371149063,2162.3709049224854
-100.0,-131.0,-600.0,-100.0,4558.602633297443,1459.0097975730896,1523.200812637806,1979.9151679873466
-300.0,-102.82376217842102,-115.0,-150.0,4136.439792394638,1301.7601514458656,1966.2722244262695,1958.9743664860725
-140.0,-112.0,-600.0,-300.0,4439.361615598202,1764.7602099180222,1494.6056759953499,-120.16095113754272
-300.0,-131.0,-300.0,-115.0,2716.013455748558,1967.3185134530067,1309.092464864254,2619.096341609955
-100.0,-600.0,-300.0,-188.20562136173248,4143.558358073235,1384.7910598516464,1084.7165346741676,2245.5177164673805
-100.0,-626.6987746953964,-300.0,-172.0,2207.75955337286,2023.9261720180511,-122.6189677119255,-109.0
-133.00848841667175,-615.0,-600.0,-600.0,4495.913331985474,1758.5580072402954,2223.8373343348503,1948.6859639286995
-600.0,-600.0,-137.01584523916245,-155.0,4440.164529681206,1876.8294991254807,1954.0636317133904,2543.9679758548737
-100.0,-510.0,-100.0,-300.0,3713.3404515981674,1544.3330849409103,1679.844984471798,2519.9450660943985
-100.0,-290.0,-665.0,-600.0,2831.1671317219734,1950.6313843727112,1899.7595017552376,1793.783915579319
-105.94313859939575,-340.0,-296.0,-283.00848841667175,-265.88271152973175,1627.2230061292648,1637.3517488241196,1956.4705880880356
-600.0,-290.0,-316.57158064842224,-126.07334554195404,-211.1743724346161,1704.2471888661385,1078.2126241922379,1534.4493091106415
-100.0,-100.0,-300.0,-100.0,2372.3448828458786,1171.9634563326836,2269.276693224907,1891.2240085601807
-307.0831549167633,-157.0,-300.0,-363.0382937192917,1431.4722735881805,1165.1535077691078,1892.9755660295486,2576.9930177927017
-100.0,-146.0,-600.0,-100.0,1965.5378322005272,1767.210590004921,1658.721940934658,2576.0506920814514
-537.2056213617325,-510.0,-100.0,-100.0,3707.458600759506,1482.2556804418564,1585.4745318889618,-109.0
-100.0,-105.0,-300.0,-143.0,4123.4252443909645,797.7391443252563,1682.867680966854,-105.24891531467438
-574.0685815811157,-600.0,-300.0,-100.0,3437.4414804577827,1256.5889882445335,1525.5087547898293,3027.5663546919823
-300.0,-600.0,-237.20562136173248,-112.0,3204.686652958393,1178.0665407180786,1168.912889778614,1754.3360652923584
-600.0,-527.9874948263168,-140.0,-300.0,-109.15371942520142,1586.8275938630104,1093.6768835186958,-130.17217469215393
-100.0,-135.0,-161.07334554195404,-126.49700093269348,4361.994227349758,2168.074688255787,1244.5878689289093,-104.2720155119896
-100.0,-525.0,-300.0,-600.0,4156.718523859978,1985.2809405326843,1468.547352194786,-109.0
-537.2056213617325,-114.0,-333.00848841667175,-360.0,3470.333504796028,1945.3045220971107,2542.8207287192345,-109.0
-107.83105051517487,-600.0,-298.5630922317505,-100.0,1525.8592268824577,1075.5892063379288,2401.8995907902718,1895.085700392723
77.49525254964828,-600.0,-300.0,-600.0,3640.8799924254417,1435.4812183976173,1685.5485844612122,2723.9991664886475
-100.0,-112.0,-600.0,-315.0,2862.619116783142,2173.4498326182365,1824.7300838828087,1784.1717674136162
-340.0,-173.3303057551384,-553.4970009326935,-100.0,4870.5604211091995,2188.3205165863037,1987.9978004097939,2565.142228245735
-100.0,-290.0,-329.0818339586258,-244.0,3573.698632776737,1357.1449491977692,1651.187027156353,2039.9989140629768
-100.0,-600.0,-600.0,-100.0,4473.42688947916,-107.68038558959961,-103.21501100063324,-110.30216872692108
-600.0,-304.0,-196.0,-135.0,4214.358836114407,1536.7126150727272,1789.7423993349075,2896.9531539678574
-100.0,-112.0,-196.0,-300.0,3674.1417919397354,1997.733144044876,1412.5817286968231,2268.437733590603
-253.49700093269348,-633.0084884166718,-583.2789669036865,-200.0,2998.476494848728,1697.694865822792,1245.5697963237762,-136.1969085931778
-100.0,-131.0,-100.0,-100.0,4637.09067761898,-125.68125474452972,1668.1390172243118,2343.582358121872
-100.0,-153.49700093269348,-333.00848841667175,-157.0,3982.6836832761765,1154.4856318235397,2203.0332293510437,2687.485284924507
-600.0,-600.0,-196.0,-171.0,4851.667469799519,1891.5489609241486,1488.1606812477112,2249.097357571125
-146.0,-131.0,-379.0818339586258,-510.0,3336.3388653993607,-147.92294651269913,1723.81603205204,-109.0
-670.0,-131.0,-665.0,-237.20562136173248,4396.393999636173,1989.5819796919823,2495.759387433529,2176.581237733364
-100.0,-348.41371381282806,-600.0,-633.0084884166718,2906.6837601065636,1740.2860411405563,2010.3098688721657,2297.6461231708527
-233.81274282932281,-300.0,-300.0,-157.0,2841.946258723736,-102.30481725931168,-123.89301657676697,2563.187311589718
-100.0,-600.0,-130.00848841667175,-123.00848841667175,2853.886575460434,1895.9590046405792,1724.8801513314247,1691.9439601302147
-102.19312256574631,-140.0,-300.0,-200.0,4577.651488006115,2172.319195687771,1508.3360773921013,-102.77635753154755
-232.0,-131.0,-360.0,-600.0,2537.959531545639,1771.2866408228874,2040.0051809549332,2566.4942056536674
-237.20562136173248,-135.0,-365.0,-100.0,2534.686122894287,1620.7943367362022,1430.6079179644585,2083.360738694668
-120.0,-102.0,-537.2056213617325,-600.0,2569.5817079544067,1473.8964433670044,1907.4613829255104,2537.180681884289
-119.0,-131.0,-600.0,-615.0,1907.8378720283508,1495.782558441162,1696.000148832798,2514.6193854808807
-100.0,-600.0,-300.0,-102.86635494232178,4236.015529513359,2049.065367937088,1691.1695610284805,-101.26050877571106
-274.5324087738991,-620.0,-300.0,-290.0,2752.4288981556892,1973.6809054613113,-133.11810284852982,2626.745572566986
-600.0,-340.0,-633.0084884166718,-300.0,-100.10377240180969,1965.050778567791,1685.0006497502327,2220.6747249364853
-300.0,-510.0,-201.91790288686752,-157.0,2224.2002158761024,1450.0264086723328,2145.1529502868652,1567.8332304358482
-134.00848841667175,-510.0,-600.0,-300.0,2650.992176055908,1701.1010506749153,1827.1035597920418,1517.7680574655533
-313.4970009326935,-510.0,-133.00848841667175,-225.0,3788.249717414379,1531.4459085464478,1632.1554778814316,1722.0536810159683
-627.0,-142.0,-600.0,-600.0,3129.8925389647484,1515.7618514299393,2138.242966532707,1717.892322421074
-205.06858158111572,-600.0,-300.0,-115.0,2613.9896334409714,1471.5057125091553,-124.91001564264297,1935.488775074482
-105.0,-139.49700093269348,-627.0,-537.2056213617325,3455.705840587616,1220.3149478435516,2229.5310137867928,-109.0
